Country,Party,PartyName,Dimension,Scale,Mean,SD,N,Vote_Share,Election_Date
69,Allc,11,5,1,7.588235378,4.458963394,17,1.3,2002
69,Allc,11,5,2,12.6875,3.927997828,16,1.3,2002
69,Allc,11,12,1,11.125,4.364630699,16,1.3,2002
69,Allc,11,12,2,11.60000038,4.610547066,15,1.3,2002
69,Allc,11,13,1,3.166666746,1.65387249,18,1.3,2002
69,Allc,11,19,1,5.117647171,2.666513443,17,1.3,2002
69,Allc,11,19,2,12.11764717,3.586125135,17,1.3,2002
69,Allc,11,22,1,4,2.634611368,18,1.3,2002
69,Allc,11,22,2,17.05555534,2.154945612,18,1.3,2002
69,Allc,11,27,1,1.899999976,0.852241635,20,1.3,2002
69,Allc,11,27,2,17.89473724,2.105409384,19,1.3,2002
69,Allc,11,28,1,17.20000076,5.615767479,20,1.3,2002
69,Allc,11,28,2,18.54999924,1.316894293,20,1.3,2002
69,Allc,11,99,1,7.666666508,5.258047104,18,1.3,2002
9,TB/LNNK,12,1,1,12.875,2.100170135,8,5.39,2002
9,TB/LNNK,12,1,2,10.75,4.13175869,8,5.39,2002
9,TB/LNNK,12,2,1,14.5,2.203892708,8,5.39,2002
9,TB/LNNK,12,2,2,11.25,5.007137775,8,5.39,2002
9,TB/LNNK,12,3,1,13.875,2.100170135,8,5.39,2002
9,TB/LNNK,12,3,2,13.25,4.432026386,8,5.39,2002
9,TB/LNNK,12,4,1,15.625,3.159452915,8,5.39,2002
9,TB/LNNK,12,4,2,14.625,4.340424538,8,5.39,2002
9,TB/LNNK,12,5,1,11.125,4.486089706,8,5.39,2002
9,TB/LNNK,12,5,2,11.125,4.76407671,8,5.39,2002
9,TB/LNNK,12,6,1,17.125,4.015594482,8,5.39,2002
9,TB/LNNK,12,6,2,17.625,3.02076149,8,5.39,2002
9,TB/LNNK,12,7,1,17.25,2.549509764,8,5.39,2002
9,TB/LNNK,12,7,2,17.75,1.581138849,8,5.39,2002
9,TB/LNNK,12,8,1,9.25,4.682795048,8,5.39,2002
9,TB/LNNK,12,8,2,9.5,4.535573483,8,5.39,2002
9,TB/LNNK,12,9,1,19.25,1.388730168,8,5.39,2002
9,TB/LNNK,12,9,2,19.25,1.388730168,8,5.39,2002
9,TB/LNNK,12,10,1,12.5,3.703280449,8,5.39,2002
